speaker,speech_len
MILENKO JOVANOV,1842
ANA BRNABIĆ,62
DOBRICA VESELINOVIĆ,2669
ANA BRNABIĆ,31
MILENKO JOVANOV,500
ANA BRNABIĆ,1088
RADOMIR LAZOVIĆ,887
ANA BRNABIĆ,583
RADOMIR LAZOVIĆ,475
ANA BRNABIĆ,368
RADOMIR LAZOVIĆ,733
ANA BRNABIĆ,134
ZORAN LUTOVAC,472
ANA BRNABIĆ,78
ZORAN LUTOVAC,3
ANA BRNABIĆ,59
RADOSLAV MILOJIČIĆ,1253
ANA BRNABIĆ,59
VLADIMIR ĐORĐEVIĆ,2819
ANA BRNABIĆ,31
MILENKO JOVANOV,1497
ANA BRNABIĆ,9
VOJISLAV MIHAILOVIĆ,8
ANA BRNABIĆ,22
VOJISLAV MIHAILOVIĆ,32
ANA BRNABIĆ,192
VOJISLAV MIHAILOVIĆ,548
ANA BRNABIĆ,48
MILENKO JOVANOV,331
ANA BRNABIĆ,75
BORISLAV NOVAKOVIĆ,3684
ANA BRNABIĆ,24
MILENKO JOVANOV,633
ALEKSANDAR JOVANOVIĆ,23
MILENKO JOVANOV,2233
ANA BRNABIĆ,62
MARINIKA TEPIĆ,4221
ANA BRNABIĆ,62
MILENKO JOVANOV,547
ALEKSANDAR JOVANOVIĆ,25
MILENKO JOVANOV,2483
ANA BRNABIĆ,62
SRĐAN MILIVOJEVIĆ,332
ANA BRNABIĆ,150
ALEKSANDAR JOVANOVIĆ,111
ANA BRNABIĆ,165
ALEKSANDAR PAVIĆ,1554
ANA BRNABIĆ,56
MARINA MIJATOVIĆ,3310
ANA BRNABIĆ,58
SLOBODAN CVEJIĆ,2844
ANA BRNABIĆ,62
ĐORĐE STANKOVIĆ,3530
ANA BRNABIĆ,898
RADOMIR LAZOVIĆ,913
ALEKSANDAR JOVANOVIĆ,38
ANA BRNABIĆ,216
MILENKO JOVANOV,1719
ANA BRNABIĆ,62
SLAĐANA MILETIĆ,2137
ANA BRNABIĆ,141
BORKO STEFANOVIĆ,8348
ANA BRNABIĆ,31
MILENKO JOVANOV,2848
ALEKSANDAR JOVANOVIĆ,52
MILENKO JOVANOV,27
ALEKSANDAR JOVANOVIĆ,15
MILENKO JOVANOV,25
ALEKSANDAR JOVANOVIĆ,41
MILENKO JOVANOV,84
ALEKSANDAR JOVANOVIĆ,10
MILENKO JOVANOV,2929
ANA BRNABIĆ,35
BORKO STEFANOVIĆ,1865
ANA BRNABIĆ,6
BORKO STEFANOVIĆ,222
ANA BRNABIĆ,31
MILENKO JOVANOV,2589
ALEKSANDAR JOVANOVIĆ,18
MILENKO JOVANOV,2335
ANA BRNABIĆ,75
RASTISLAV DINIĆ,3221
ANA BRNABIĆ,123
BORISLAV ANTONIJEVIĆ,919
ANA BRNABIĆ,80
BORISLAV ANTONIJEVIĆ,728
ANA BRNABIĆ,465
MILOŠ PARANDILOVIĆ,6835
ANA BRNABIĆ,164
MILOLJUB ALBIJANIĆ,84
ANA BRNABIĆ,20
MILOLJUB ALBIJANIĆ,615
ALEKSANDAR JOVANOVIĆ,16
MILOLJUB ALBIJANIĆ,47
ANA BRNABIĆ,41
MILOLJUB ALBIJANIĆ,693
ANA BRNABIĆ,33
MILOLJUB ALBIJANIĆ,178
ANA BRNABIĆ,57
RADOSLAV MILOJIČIĆ,1800
ANA BRNABIĆ,54
GORAN RAKIĆ,1750
ANA BRNABIĆ,228
VLADIMIR ORLIĆ,2776
ANA BRNABIĆ,56
MILOŠ PARANDILOVIĆ,810
ANA BRNABIĆ,103
RADOSLAV MILOJIČIĆ,1184
ANA BRNABIĆ,70
VLADIMIR ORLIĆ,204
ANA BRNABIĆ,77
SLOBODAN PETROVIĆ,939
ANA BRNABIĆ,87
SLOBODAN PETROVIĆ,35
ANA BRNABIĆ,29
SLOBODAN PETROVIĆ,24
ANA BRNABIĆ,85
SLOBODAN PETROVIĆ,24
ANA BRNABIĆ,9
SLOBODAN PETROVIĆ,1403
ANA BRNABIĆ,67
SLOBODAN PETROVIĆ,94
ANA BRNABIĆ,100
GORAN NIKOLIĆ,1521
ANA BRNABIĆ,6
GORAN NIKOLIĆ,331
ANA BRNABIĆ,113
SLOBODAN PETROVIĆ,8
ANA BRNABIĆ,340
PREDRAG MARSENIĆ,4700
SANDRA BOŽIĆ,106
DUŠAN NIKEZIĆ,1060
SANDRA BOŽIĆ,49
DUŠAN NIKEZIĆ,49
SANDRA BOŽIĆ,76
FILIP TATALOVIĆ,3280
ANA BRNABIĆ,34
NENAD MITROVIĆ,414
ANA BRNABIĆ,157
NENAD MITROVIĆ,2662
ANA BRNABIĆ,79
DRAGANA RAKIĆ,411
ANA BRNABIĆ,289
ZORAN LUTOVAC,4890
ANA BRNABIĆ,59
ALEKSANDAR JOVANOVIĆ,3918
ANA BRNABIĆ,254
DEJAN BULATOVIĆ,1601
ANA BRNABIĆ,151
RADOSLAV MILOJIČIĆ,1232
ANA BRNABIĆ,66
ALEKSANDAR JOVANOVIĆ,392
ANA BRNABIĆ,129
ALEKSANDAR JOVANOVIĆ,11
ANA BRNABIĆ,166
ALEKSANDAR JOVANOVIĆ,608
ANA BRNABIĆ,801
JELENA JERINIĆ,7060
ANA BRNABIĆ,67
MARIJA ZDRAVKOVIĆ,1584
ANA BRNABIĆ,117
MILENKO JOVANOV,1203
ANA BRNABIĆ,78
SRĐAN MILIVOJEVIĆ,522
ANA BRNABIĆ,1705
JELENA MILOŠEVIĆ,3515
ANA BRNABIĆ,50
JELENA MILOŠEVIĆ,3
ANA BRNABIĆ,80
DEJAN ŠULKIĆ,6475
ANA BRNABIĆ,63
VERICA MILANOVIĆ,2107
ANA BRNABIĆ,65
BOGDAN RADOVANOVIĆ,4398
ANA BRNABIĆ,88
SLAVICA RADOVANOVIĆ,6799
ANA BRNABIĆ,1206
SLAVICA RADOVANOVIĆ,60
ANA BRNABIĆ,31
SLAVICA RADOVANOVIĆ,44
ANA BRNABIĆ,75
SLAVICA RADOVANOVIĆ,89
ANA BRNABIĆ,49
BRANKO MILJUŠ,879
ANA BRNABIĆ,55
BRANKO MILJUŠ,2142
ANA BRNABIĆ,35
VERICA MILANOVIĆ,1843
ANA BRNABIĆ,69
SLAĐANA RADISAVLJEVIĆ,3328
ANA BRNABIĆ,65
ŽELJKO VESELINOVIĆ,4132
SANDRA BOŽIĆ,40
ĐORĐE PAVIĆEVIĆ,2694
ANA BRNABIĆ,745
MILA POPOVIĆ,4763
ANA BRNABIĆ,60
SLOBODAN PETROVIĆ,1568
ANA BRNABIĆ,107
ZORAN STOJANOVIĆ,5695
ANA BRNABIĆ,72
ZORAN STOJANOVIĆ,249
ANA BRNABIĆ,62
RADOMIR LAZOVIĆ,2488
ANA BRNABIĆ,45
RADOMIR LAZOVIĆ,112
ANA BRNABIĆ,13
RADOMIR LAZOVIĆ,5685
ANA BRNABIĆ,75
DEJAN TOMAŠEVIĆ,369
ANA BRNABIĆ,37
RADOMIR LAZOVIĆ,2008
ANA BRNABIĆ,95
ARNO GUJON,2089
ANA BRNABIĆ,84
RADOMIR LAZOVIĆ,78
ANA BRNABIĆ,29
RADOMIR LAZOVIĆ,1718
ANA BRNABIĆ,16
RADOMIR LAZOVIĆ,49
ANA BRNABIĆ,36
RADOMIR LAZOVIĆ,353
ANA BRNABIĆ,57
BRANKO RUŽIĆ,976
ANA BRNABIĆ,36
SRĐAN MILIVOJEVIĆ,3568
ANA BRNABIĆ,70
SRĐAN MILIVOJEVIĆ,162
ANA BRNABIĆ,80
SRĐAN MILIVOJEVIĆ,131
ANA BRNABIĆ,60
SRĐAN MILIVOJEVIĆ,823
ANA BRNABIĆ,30
SRĐAN MILIVOJEVIĆ,36
ANA BRNABIĆ,213
SRĐAN MILIVOJEVIĆ,741
ANA BRNABIĆ,511
SRĐAN MILIVOJEVIĆ,2095
ANA BRNABIĆ,531
SRĐAN MILIVOJEVIĆ,892
ANA BRNABIĆ,146
SRĐAN MILIVOJEVIĆ,35
ANA BRNABIĆ,97
RADOMIR LAZOVIĆ,4916
ANA BRNABIĆ,21
RADOMIR LAZOVIĆ,117
ANA BRNABIĆ,304
SANDRA BOŽIĆ,2257
ANA BRNABIĆ,45
DEJAN ŠULKIĆ,344
ANA BRNABIĆ,66
BRANKO RUŽIĆ,1298
ANA BRNABIĆ,32
RADOMIR LAZOVIĆ,2230
ANA BRNABIĆ,42
SNEŽANA PAUNOVIĆ,5946
ANA BRNABIĆ,60
PEĐA MITROVIĆ,3015
ANA BRNABIĆ,204
RADOMIR LAZOVIĆ,35
ANA BRNABIĆ,29
RADOMIR LAZOVIĆ,16
ANA BRNABIĆ,164
ANA JAKOVLJEVIĆ,248
ANA BRNABIĆ,76
ANA JAKOVLJEVIĆ,1447
ANA BRNABIĆ,120
MILENKO JOVANOV,4395
ANA BRNABIĆ,1056
ANA BRNABIĆ,6735
ANA BRNABIĆ,3520
SRĐAN MILIVOJEVIĆ,482
ANA BRNABIĆ,599
ALEKSANDAR JOVANOVIĆ,15
ANA BRNABIĆ,309
ZORAN LUTOVAC,530
ANA BRNABIĆ,277
ZORAN LUTOVAC,3
ANA BRNABIĆ,1320
MILOŠ VUČEVIĆ,169449
BORISLAV NOVAKOVIĆ,43
MILOŠ VUČEVIĆ,572
ANA BRNABIĆ,18
MILOŠ VUČEVIĆ,149
ANA BRNABIĆ,23
MILOŠ VUČEVIĆ,88
ANA BRNABIĆ,20
MILOŠ VUČEVIĆ,8755
ANA BRNABIĆ,299
BORISLAV NOVAKOVIĆ,55
ANA BRNABIĆ,1667
RADOMIR LAZOVIĆ,105
ANA BRNABIĆ,25
RADOMIR LAZOVIĆ,772
ANA BRNABIĆ,31
RADOMIR LAZOVIĆ,14
ANA BRNABIĆ,58
RADOMIR LAZOVIĆ,31
ANA BRNABIĆ,55
RADOMIR LAZOVIĆ,56
ANA BRNABIĆ,51
RADOMIR LAZOVIĆ,35
ANA BRNABIĆ,51
RADOMIR LAZOVIĆ,123
ANA BRNABIĆ,248
ALEKSANDAR JOVANOVIĆ,7048
ANA BRNABIĆ,166
ALEKSANDAR JOVANOVIĆ,49
ANA BRNABIĆ,42
ALEKSANDAR JOVANOVIĆ,2832
ANA BRNABIĆ,51
MILENKO JOVANOV,1815
ANA BRNABIĆ,48
SNEŽANA PAUNOVIĆ,1509
ANA BRNABIĆ,46
STEFAN KRKOBABIĆ,1528
ANA BRNABIĆ,108
ALEKSANDAR JOVANOVIĆ,570
ANA BRNABIĆ,488
MILOŠ VUČEVIĆ,8188
ANA BRNABIĆ,49
DRAGAN MARKOVIĆ,11660
ANA BRNABIĆ,30
DRAGAN MARKOVIĆ,557
ANA BRNABIĆ,31
BOGDAN RADOVANOVIĆ,137
ANA BRNABIĆ,10
BOGDAN RADOVANOVIĆ,1086
ANA BRNABIĆ,64
BOGDAN RADOVANOVIĆ,44
ANA BRNABIĆ,180
BOGDAN RADOVANOVIĆ,146
ANA BRNABIĆ,29
BOGDAN RADOVANOVIĆ,9
ANA BRNABIĆ,1324
BOJAN TORBICA,2719
ALEKSANDAR JOVANOVIĆ,19
BOJAN TORBICA,260
ALEKSANDAR JOVANOVIĆ,17
BOJAN TORBICA,7638
ANA BRNABIĆ,775
MILOŠ VUČEVIĆ,9149
SNEŽANA PAUNOVIĆ,97
BALINT PASTOR,14419
SNEŽANA PAUNOVIĆ,66
MILOŠ VUČEVIĆ,7105
ANA BRNABIĆ,51
MUAMER BAČEVAC,11760
ANA BRNABIĆ,49
MILOŠ VUČEVIĆ,5970
ANA BRNABIĆ,63
JELENA PAVLOVIĆ,10936
ANA BRNABIĆ,52
MILOŠ VUČEVIĆ,9352
ALEKSANDAR JOVANOVIĆ,15
MILOŠ VUČEVIĆ,2244
ANA BRNABIĆ,306
STEFAN KRKOBABIĆ,11134
ANA BRNABIĆ,53
MILOŠ VUČEVIĆ,3824
ANA BRNABIĆ,69
BRANKO PAVLOVIĆ,8556
ANA BRNABIĆ,57
MILOŠ VUČEVIĆ,6455
ANA BRNABIĆ,2162
NEBOJŠA NOVAKOVIĆ,4697
ANA BRNABIĆ,78
NEBOJŠA NOVAKOVIĆ,46
ANA BRNABIĆ,57
NEBOJŠA NOVAKOVIĆ,5260
ANA BRNABIĆ,45
MILENKO JOVANOV,1933
ANA BRNABIĆ,42
MILOŠ VUČEVIĆ,6430
ANA BRNABIĆ,60
ALEKSANDAR JOVANOVIĆ,519
ANA BRNABIĆ,244
ALEKSANDAR JOVANOVIĆ,97
ANA BRNABIĆ,210
ZDRAVKO PONOŠ,17038
ANA BRNABIĆ,50
ZDRAVKO PONOŠ,107
ANA BRNABIĆ,51
MILENKO JOVANOV,1670
ANA BRNABIĆ,51
ĐORĐE KOMLENSKI,932
ANA BRNABIĆ,46
ANA BRNABIĆ,187
MILOŠ VUČEVIĆ,8489
ANA BRNABIĆ,510
ZDRAVKO PONOŠ,1329
ANA BRNABIĆ,41
MILENKO JOVANOV,1438
ANA BRNABIĆ,48
SRĐAN MILIVOJEVIĆ,296
ANA BRNABIĆ,161
MILOŠ VUČEVIĆ,5283
ANA BRNABIĆ,46
BILJANA ĐORĐEVIĆ,10344
MARINA RAGUŠ,29
MILOŠ VUČEVIĆ,11287
ANA BRNABIĆ,30
BILJANA ĐORĐEVIĆ,3
ANA BRNABIĆ,29
BILJANA ĐORĐEVIĆ,24
ANA BRNABIĆ,85
MILOŠ JOVANOVIĆ,15900
ANA BRNABIĆ,43
MILOŠ JOVANOVIĆ,192
ANA BRNABIĆ,555
MILENKO JOVANOV,2238
ANA BRNABIĆ,94
PREDRAG MARSENIĆ,194
ANA BRNABIĆ,22
PREDRAG MARSENIĆ,487
ANA BRNABIĆ,487
MILOŠ VUČEVIĆ,6653
ANA BRNABIĆ,95
ANA BRNABIĆ,950
SNEŽANA PAUNOVIĆ,13061
ANA BRNABIĆ,43
MILOŠ VUČEVIĆ,543
ANA BRNABIĆ,63
MIROSLAV ALEKSIĆ,10261
ANA BRNABIĆ,83
MIROSLAV ALEKSIĆ,33
ANA BRNABIĆ,68
MIROSLAV ALEKSIĆ,40
ANA BRNABIĆ,232
MIROSLAV ALEKSIĆ,4474
ANA BRNABIĆ,501
MARIJAN RISTIČEVIĆ,115
ANA BRNABIĆ,221
MARIJAN RISTIČEVIĆ,1615
ANA BRNABIĆ,23
BOJAN TORBICA,1372
ANA BRNABIĆ,10
BOJAN TORBICA,75
ANA BRNABIĆ,42
ALEKSANDAR JOVANOVIĆ,76
ANA BRNABIĆ,19
ALEKSANDAR JOVANOVIĆ,434
ANA BRNABIĆ,146
SNEŽANA PAUNOVIĆ,330
ANA BRNABIĆ,35
MILENKO JOVANOV,2043
ANA BRNABIĆ,45
MILOŠ VUČEVIĆ,7324
SRĐAN MILIVOJEVIĆ,17
MILOŠ VUČEVIĆ,3847
ANA BRNABIĆ,52
MARINIKA TEPIĆ,1398
ANA BRNABIĆ,48
MARINIKA TEPIĆ,3
ANA BRNABIĆ,174
ALEKSANDAR JOVANOVIĆ,17
ANA BRNABIĆ,95
ALEKSANDAR JOVANOVIĆ,19
ANA BRNABIĆ,634
MIROSLAV ALEKSIĆ,1944
ANA BRNABIĆ,39
MILOŠ VUČEVIĆ,3258
ALEKSANDAR JOVANOVIĆ,29
MILOŠ VUČEVIĆ,166
ALEKSANDAR JOVANOVIĆ,15
MILOŠ VUČEVIĆ,1194
ANA BRNABIĆ,168
ALEKSANDAR JOVANOVIĆ,13
ANA BRNABIĆ,220
MILOŠ VUČEVIĆ,2451
ANA BRNABIĆ,48
DRAGAN ĐILAS,4946
ANA BRNABIĆ,26
DRAGAN ĐILAS,9778
ANA BRNABIĆ,263
DEJAN BULATOVIĆ,1736
ANA BRNABIĆ,303
RADOSLAV MILOJIČIĆ,1394
ANA BRNABIĆ,419
IRENA ŽIVKOVIĆ,1142
ANA BRNABIĆ,517
MARINIKA TEPIĆ,905
ANA BRNABIĆ,152
ĐORĐE KOMLENSKI,1200
ANA BRNABIĆ,25
MILENKO JOVANOV,2153
ANA BRNABIĆ,91
BORKO STEFANOVIĆ,920
ANA BRNABIĆ,139
DRAGAN ĐILAS,1516
ANA BRNABIĆ,24
MILENKO JOVANOV,689
ANA BRNABIĆ,61
MILOŠ VUČEVIĆ,9479
ANA BRNABIĆ,10
DRAGAN ĐILAS,8
ANA BRNABIĆ,99
DRAGAN ĐILAS,2054
ANA BRNABIĆ,29
MILOŠ VUČEVIĆ,2302
ANA BRNABIĆ,41
MILENKO JOVANOV,13207
ANA BRNABIĆ,105
MILOŠ VUČEVIĆ,595
ANA BRNABIĆ,332
NENAD FILIPOVIĆ,3147
ANA BRNABIĆ,74
AHMEDIN ŠKRIJELJ,4112
ELVIRA KOVAČ,75
EDIN ĐERLEK,4736
ELVIRA KOVAČ,64
EDIS DURGUTOVIĆ,1992
ELVIRA KOVAČ,61
DRAGAN JONIĆ,2774
ANA BRNABIĆ,37
BORIS BAJIĆ,7341
ANA BRNABIĆ,69
DRAGAN STANOJEVIĆ,3374
ANA BRNABIĆ,70
DUNJA SIMONOVIĆ BRATIĆ,461
ALEKSANDAR JOVANOVIĆ,27
DUNJA SIMONOVIĆ BRATIĆ,3970
ANA BRNABIĆ,146
DRAGANA RAKIĆ,6097
ANA BRNABIĆ,100
VLADIMIR PAJIĆ,758
ANA BRNABIĆ,203
ALEKSANDAR JOVANOVIĆ,10
ANA BRNABIĆ,70
ALEKSANDAR JOVANOVIĆ,641
ANA BRNABIĆ,104
ALEKSANDAR JOVANOVIĆ,29
ANA BRNABIĆ,42
ALEKSANDAR JOVANOVIĆ,14
ANA BRNABIĆ,34
ALEKSANDAR JOVANOVIĆ,107
ANA BRNABIĆ,85
ALEKSANDAR JOVANOVIĆ,358
ANA BRNABIĆ,546
ALEKSANDAR JOVANOVIĆ,46
ANA BRNABIĆ,21
ALEKSANDAR JOVANOVIĆ,52
ANA BRNABIĆ,70
ALEKSANDAR JOVANOVIĆ,84
ANA BRNABIĆ,477
ALEKSANDAR JOVANOVIĆ,43
ANA BRNABIĆ,27
ALEKSANDAR JOVANOVIĆ,89
ANA BRNABIĆ,71
BOJAN TORBICA,1317
ANA BRNABIĆ,106
DRAGAN JONIĆ,231
ANA BRNABIĆ,196
ZORAN LUTOVAC,66
ANA BRNABIĆ,8
ZORAN LUTOVAC,79
ANA BRNABIĆ,30
ZORAN LUTOVAC,21
ANA BRNABIĆ,18
ZORAN LUTOVAC,764
ANA BRNABIĆ,23
ALEKSANDAR JOVANOVIĆ,107
ANA BRNABIĆ,50
ALEKSANDAR JOVANOVIĆ,14
ANA BRNABIĆ,361
ALEKSANDAR JOVANOVIĆ,20
ANA BRNABIĆ,85
ALEKSANDAR JOVANOVIĆ,37
ANA BRNABIĆ,221
RADOSLAV MILOJIČIĆ,497
ANA BRNABIĆ,249
NEVENA ĐURIĆ,5462
ANA BRNABIĆ,89
MILOŠ VUČEVIĆ,3489
RADOMIR LAZOVIĆ,12
MILOŠ VUČEVIĆ,398
SANDRA BOŽIĆ,200
DRAGANA RAKIĆ,1310
SANDRA BOŽIĆ,17
MILOŠ VUČEVIĆ,2007
SANDRA BOŽIĆ,48
DRAGAN DELIĆ,243
SANDRA BOŽIĆ,65
DRAGAN DELIĆ,5152
SANDRA BOŽIĆ,50
MARIJA JEVĐIĆ,2758
SANDRA BOŽIĆ,21
MARIJA JEVĐIĆ,509
SANDRA BOŽIĆ,12
MARIJA JEVĐIĆ,337
SANDRA BOŽIĆ,62
DOBRICA VESELINOVIĆ,5117
SANDRA BOŽIĆ,43
VLADIMIR ORLIĆ,7703
SANDRA BOŽIĆ,27
MILOŠ VUČEVIĆ,3876
SANDRA BOŽIĆ,65
PREDRAG MARSENIĆ,6811
ANA BRNABIĆ,54
MILOLJUB ALBIJANIĆ,5610
SANDRA BOŽIĆ,37
ĐORĐE STANKOVIĆ,4384
SANDRA BOŽIĆ,35
MARINIKA TEPIĆ,2125
SANDRA BOŽIĆ,57
MARINIKA TEPIĆ,49
SANDRA BOŽIĆ,62
MARINIKA TEPIĆ,1149
ANA BRNABIĆ,57
MARIJAN RISTIČEVIĆ,1644
ANA BRNABIĆ,173
NEBOJŠA BAKAREC,195
ANA BRNABIĆ,19
NEBOJŠA BAKAREC,1890
ANA BRNABIĆ,66
MARINIKA TEPIĆ,591
ANA BRNABIĆ,35
MARINIKA TEPIĆ,121
ANA BRNABIĆ,68
MARINIKA TEPIĆ,22
ANA BRNABIĆ,98
MARINIKA TEPIĆ,72
ANA BRNABIĆ,57
MARINIKA TEPIĆ,544
ANA BRNABIĆ,54
MARIJAN RISTIČEVIĆ,1418
ANA BRNABIĆ,96
SONJA PERNAT,1149
ANA BRNABIĆ,683
DALIBOR JEKIĆ,861
ANA BRNABIĆ,343
ŠAIP KAMBERI,4349
ANA BRNABIĆ,40
ŠAIP KAMBERI,526
JOVAN PALALIĆ,4897
ANA BRNABIĆ,44
GORAN PETKOVIĆ,601
ANA BRNABIĆ,61
JOVAN JANJIĆ,3088
ANA BRNABIĆ,73
JOVAN JANJIĆ,354
ANA BRNABIĆ,29
JOVAN JANJIĆ,192
ANA BRNABIĆ,60
SRĐAN MILIVOJEVIĆ,646
ANA BRNABIĆ,195
MILIJA MILETIĆ,2741
ANA BRNABIĆ,56
SLOBODAN ILIĆ,1168
ANA BRNABIĆ,56
SLOBODAN ILIĆ,2891
ANA BRNABIĆ,82
MARIJAN RISTIČEVIĆ,1419
ANA BRNABIĆ,64
SRĐAN MILIVOJEVIĆ,440
ANA BRNABIĆ,70
ROBERT KOZMA,3554
ANA BRNABIĆ,50
VLADIMIR ĐORĐEVIĆ,5272
ANA BRNABIĆ,128
VLADIMIR ĐORĐEVIĆ,231
ANA BRNABIĆ,72
VLADIMIR ĐORĐEVIĆ,15
ANA BRNABIĆ,35
VLADIMIR ĐORĐEVIĆ,25
ANA BRNABIĆ,61
VLADIMIR ĐORĐEVIĆ,82
ANA BRNABIĆ,115
ĐORĐE KOMLENSKI,921
ANA BRNABIĆ,256
ANA JAKOVLJEVIĆ,6300
ANA BRNABIĆ,43
DUŠAN NIKEZIĆ,4164
ANA BRNABIĆ,48
BOGDAN RADOVANOVIĆ,1779
ANA BRNABIĆ,32
BOGDAN RADOVANOVIĆ,182
ANA BRNABIĆ,108
PEĐA MITROVIĆ,4110
ANA BRNABIĆ,30
UROŠ ĐOKIĆ,4682
ANA BRNABIĆ,235
MARIJAN RISTIČEVIĆ,1766
ANA BRNABIĆ,36
ALEKSANDAR PAVIĆ,4606
ANA BRNABIĆ,21
ALEKSANDAR PAVIĆ,192
ANA BRNABIĆ,53
MILOŠ VUČEVIĆ,2329
SANDRA BOŽIĆ,282
DANIJELA NESTOROVIĆ,4035
SANDRA BOŽIĆ,31
BRANKO LUKIĆ,2293
SANDRA BOŽIĆ,57
BRANKO LUKIĆ,111
SANDRA BOŽIĆ,24
BRANKO LUKIĆ,282
SANDRA BOŽIĆ,37
BRANKO PAVLOVIĆ,6534
ANA BRNABIĆ,45
RADOMIR LAZOVIĆ,5830
ANA BRNABIĆ,48
MARIJAN RISTIČEVIĆ,1523
ANA BRNABIĆ,66
MARIJAN RISTIČEVIĆ,2329
ANA BRNABIĆ,76
ALEKSANDAR JOVANOVIĆ,1870
ANA BRNABIĆ,179
MARIJAN RISTIČEVIĆ,1116
ANA BRNABIĆ,36
RADOMIR LAZOVIĆ,1703
ANA BRNABIĆ,152
ZORAN LUTOVAC,3760
ANA BRNABIĆ,80
ZORAN LUTOVAC,567
ANA BRNABIĆ,16
ZORAN LUTOVAC,180
ANA BRNABIĆ,372
RADOMIR LAZOVIĆ,568
ANA BRNABIĆ,16
RADOMIR LAZOVIĆ,27
ANA BRNABIĆ,86
RADOMIR LAZOVIĆ,49
ANA BRNABIĆ,52
RADOMIR LAZOVIĆ,103
ANA BRNABIĆ,134
SRĐAN MILIVOJEVIĆ,256
ANA BRNABIĆ,86
MILOŠ VUČEVIĆ,3581
ANA BRNABIĆ,358
ANA BRNABIĆ,1745
SRĐAN SMILJANIĆ,6285
ANA BRNABIĆ,875
ANA BRNABIĆ,1605
ANA BRNABIĆ,10968
ZORAN LUTOVAC,7011
ANA BRNABIĆ,95
RADOMIR LAZOVIĆ,5982
ANA BRNABIĆ,200
RADOMIR LAZOVIĆ,1590
ANA BRNABIĆ,35
DANIJELA NESTOROVIĆ,3220
ANA BRNABIĆ,41
BRANKO PAVLOVIĆ,7906
ANA BRNABIĆ,304
BRANIMIR JOVANOVIĆ,2001
ANA BRNABIĆ,62
TIJANA PERIĆ DILIGENSKI,8065
ANA BRNABIĆ,140
TIJANA PERIĆ DILIGENSKI,1941
ANA BRNABIĆ,43
TIJANA PERIĆ DILIGENSKI,52
ANA BRNABIĆ,191
TIJANA PERIĆ DILIGENSKI,1105
ANA BRNABIĆ,773
TIJANA PERIĆ DILIGENSKI,1577
ANA BRNABIĆ,126
RISTO KOSTOV,2751
ANA BRNABIĆ,42
PREDRAG MARSENIĆ,7919
ANA BRNABIĆ,76
PREDRAG MARSENIĆ,45
ANA BRNABIĆ,606
PREDRAG MARSENIĆ,943
MILENKO JOVANOV,17
PREDRAG MARSENIĆ,76
ANA BRNABIĆ,19
PREDRAG MARSENIĆ,26
ANA BRNABIĆ,285
PREDRAG MARSENIĆ,1350
ANA BRNABIĆ,10
DUŠAN RADOSAVLJEVIĆ,10
ANA BRNABIĆ,47
DUŠAN RADOSAVLJEVIĆ,104
ANA BRNABIĆ,21
DUŠAN RADOSAVLJEVIĆ,1390
ANA BRNABIĆ,571
ANA JAKOVLJEVIĆ,7528
ANA BRNABIĆ,34
MARINIKA TEPIĆ,7228
ANA BRNABIĆ,35
ĐORĐE KOMLENSKI,9259
ANA BRNABIĆ,56
ALEKSANDAR JOVANOVIĆ,690
ANA BRNABIĆ,91
ALEKSANDAR JOVANOVIĆ,27
ANA BRNABIĆ,370
RADOMIR LAZOVIĆ,622
ANA BRNABIĆ,179
RADOMIR LAZOVIĆ,107
ANA BRNABIĆ,104
MARIJA JEVĐIĆ,2248
ANA BRNABIĆ,36
SNEŽANA PAUNOVIĆ,3306
ANA BRNABIĆ,62
MILENKO JOVANOV,3823
ANA BRNABIĆ,84
AHMEDIN ŠKRIJELJ,3245
ANA BRNABIĆ,33
STEFAN JANJIĆ,2982
ANA BRNABIĆ,28
DEJAN ŠULKIĆ,8043
ANA BRNABIĆ,36
BORKO STEFANOVIĆ,5991
ANA BRNABIĆ,45
TATJANA MARKOVIĆ TOPALOVIĆ,5753
ANA BRNABIĆ,127
TATJANA PAŠIĆ,1655
ANA BRNABIĆ,60
BRANKO MILJUŠ,1351
ANA BRNABIĆ,60
BRANKO MILJUŠ,70
ANA BRNABIĆ,130
BRANKO MILJUŠ,59
ANA BRNABIĆ,43
BRANKO MILJUŠ,1706
ANA BRNABIĆ,41
SLAĐANA RADISAVLJEVIĆ,3201
ANA BRNABIĆ,43
SLAĐANA RADISAVLJEVIĆ,512
ANA BRNABIĆ,32
MILA POPOVIĆ,3095
ANA BRNABIĆ,363
ALEKSANDAR JOVANOVIĆ,1255
ANA BRNABIĆ,214
ALEKSANDAR JOVANOVIĆ,4835
ANA BRNABIĆ,101
ALEKSANDAR JOVANOVIĆ,22
ANA BRNABIĆ,24
RADOMIR LAZOVIĆ,21
ANA BRNABIĆ,644
ALEKSANDAR JOVANOVIĆ,199
ANA BRNABIĆ,118
ALEKSANDAR JOVANOVIĆ,102
ANA BRNABIĆ,9
RADOMIR LAZOVIĆ,3919
ANA BRNABIĆ,39
ZORAN LUTOVAC,5653
ANA BRNABIĆ,1089
VERICA MILANOVIĆ,1629
ANA BRNABIĆ,607
VERICA MILANOVIĆ,2052
ANA BRNABIĆ,35
JELENA MILOŠEVIĆ,2381
ANA BRNABIĆ,92
